"Keyword","Cluster","Intent","Fit_B2B","Priority","Recommended_Page","Avg_Monthly_Searches","Competition","Competition_Indexed","Top_Bid_Low_CLP","Top_Bid_High_CLP"
"cambiar techo de chapa","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"cambiar techo de chapa por losa","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Bajo","0","0","0"
"cambiar techo de teja por chapa","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Alto","100","0","0"
"cambiar techumbre","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Medio","61","187","908"
"cambiar tejas por chapas","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"cambiar tejas rotas","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Medio","57","0","0"
"cambio de cubierta de techo","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Bajo","24","0","0"
"cambio techo de asbesto","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Medio","54","358","836"
"canaleta acesco","Canaletas_Drenaje","Transaccional","Media","P2","/limpieza-reparacion-canaletas","50","Desconocido","0","0","0"
"colocacion de techos","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Bajo","0","0","0"
"colocación de policarbonato","Material_Tipo_Cubierta","Transaccional","Media","P3","/reparacion-por-tipo-de-cubierta","50","Bajo","11","0","0"
"colocación de techos de policarbonato","Material_Tipo_Cubierta","Transaccional","Media","P3","/reparacion-por-tipo-de-cubierta","50","Desconocido","0","0","0"
"como arreglar filtracion de agua lluvia en la pared","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Alto","79","0","0"
"como arreglar goteras en techo de concreto","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"como arreglar techo con goteras","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Alto","100","176","1225"
"como arreglar terraza con filtraciones","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"como arreglar una filtracion de agua en el techo","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Alto","86","0","0"
"como arreglar una filtracion de agua en la pared","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Alto","100","0","0"
"como arreglar una pared con humedad por filtracion","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Alto","86","0","0"
"como corregir filtraciones en paredes","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"como eliminar filtraciones de agua en techo","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"como eliminar goteras en techo de chapa","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"como eliminar goteras en techo de concreto","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"como reparar filtraciones de agua en el techo","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"como reparar goteras del techo de concreto","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"como reparar goteras en el techo de concreto","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"como reparar goteras en techo de chapa","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"como reparar las filtraciones de agua en el techo","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"como reparar paredes con filtraciones de agua","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"como reparar techos con filtraciones","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"como reparar un techo con filtraciones de agua","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"como reparar una filtracion en la pared","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Alto","100","0","0"
"como reparar una gotera en el techo de cemento","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"como reparar una pared con filtracion de agua","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"como sellar goteras en el techo","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"como sellar goteras en techo de concreto","Goteras_Filtraciones_Humedad","Informacional","Media","P1","/reparacion-goteras-filtraciones","50","Alto","100","0","0"
"drywall techo instalacion","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"eliminar goteras","Goteras_Filtraciones_Humedad","Transaccional","Media","P1","/reparacion-goteras-filtraciones","50","Alto","100","0","0"
"eliminar goteras techo","Goteras_Filtraciones_Humedad","Transaccional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"evitar goteras techo","Goteras_Filtraciones_Humedad","Transaccional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"filtracion en el techo","Goteras_Filtraciones_Humedad","Transaccional","Media","P1","/reparacion-goteras-filtraciones","50","Bajo","0","0","0"
"filtraciones en techos de tejas","Goteras_Filtraciones_Humedad","Transaccional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"filtraciones tejado","Goteras_Filtraciones_Humedad","Transaccional","Media","P1","/reparacion-goteras-filtraciones","50","Medio","43","0","0"
"gotera de agua en el techo","Goteras_Filtraciones_Humedad","Transaccional","Media","P1","/reparacion-goteras-filtraciones","50","Bajo","0","0","0"
"gotera techo de chapa","Goteras_Filtraciones_Humedad","Transaccional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"gotera techo departamento","Goteras_Filtraciones_Humedad","Transaccional","Media","P1","/reparacion-goteras-filtraciones","50","Alto","86","0","0"
"goteras como reparar","Goteras_Filtraciones_Humedad","Transaccional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"goteras de techo","Goteras_Filtraciones_Humedad","Transaccional","Media","P1","/reparacion-goteras-filtraciones","50","Medio","57","0","0"
"goteras en techo de concreto","Goteras_Filtraciones_Humedad","Transaccional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"goteras en techo de tejas","Goteras_Filtraciones_Humedad","Transaccional","Media","P1","/reparacion-goteras-filtraciones","50","Alto","100","0","0"
"goteras en tejado","Goteras_Filtraciones_Humedad","Transaccional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"goteras en tejado de tejas","Goteras_Filtraciones_Humedad","Transaccional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"goteras en union de techos","Goteras_Filtraciones_Humedad","Transaccional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"goteras reparacion","Goteras_Filtraciones_Humedad","Transaccional","Media","P1","/reparacion-goteras-filtraciones","50","Alto","79","767","1682"
"goteras techo de tejas","Goteras_Filtraciones_Humedad","Transaccional","Media","P1","/reparacion-goteras-filtraciones","50","Alto","100","0","0"
"goteras tejados","Goteras_Filtraciones_Humedad","Transaccional","Media","P1","/reparacion-goteras-filtraciones","50","Desconocido","0","0","0"
"goteras y filtraciones","Goteras_Filtraciones_Humedad","Transaccional","Media","P1","/reparacion-goteras-filtraciones","50","Alto","86","0","0"
"hidrolavado de techos","Otros","Transaccional","Baja","P3","/servicios-techos","50","Desconocido","0","0","0"
"impermeabilizacion de techos con membrana","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Desconocido","0","0","0"
"impermeabilizacion de techos con poliuretano","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Alto","86","0","0"
"impermeabilizacion de techos de lamina","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Desconocido","0","0","0"
"impermeabilizacion de techos de tejas","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Alto","100","0","0"
"impermeabilizacion de techos membrana asfaltica","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Alto","71","0","0"
"impermeabilizacion de techumbres","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Alto","100","0","0"
"impermeabilizacion en techos","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Desconocido","0","0","0"
"impermeabilizacion goteras","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Alto","100","0","0"
"impermeabilizacion techos de chapa","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Desconocido","0","0","0"
"impermeabilización de techos con manto asfáltico","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Desconocido","0","0","0"
"impermeabilización de techos de chapa","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Desconocido","0","0","0"
"impermeabilizante de tejas","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Alto","100","136","468"
"impermeabilizante para techos de tejas","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Alto","100","0","0"
"impermeabilizante teja","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Alto","100","219","1115"
"impermeabilizar laminas de zinc","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Desconocido","0","0","0"
"impermeabilizar techo con pintura asfaltica","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Desconocido","0","0","0"
"impermeabilizar techo de hormigón","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Desconocido","0","0","0"
"impermeabilizar techo de lamina","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Alto","100","0","0"
"impermeabilizar techo de losa","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Desconocido","0","0","0"
"impermeabilizar techo de tejas","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Alto","100","0","0"
"impermeabilizar techo interior","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Desconocido","0","0","0"
"impermeabilizar techo losa","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Desconocido","0","0","0"
"impermeabilizar techo por dentro","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Desconocido","0","0","0"
"impermeabilizar techos con poliuretano","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Alto","100","0","0"
"impermeabilizar techos de lamina","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Desconocido","0","0","0"
"impermeabilizar techos de tejas","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Alto","100","0","0"
"impermeabilizar techos precio","Precios_Cotizacion","Comercial","Media","P2","/cotizacion-reparacion-techos","50","Alto","100","0","0"
"impermeabilizar teja asfaltica","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Alto","100","33","727"
"impermeabilizar tejado por dentro","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Desconocido","0","0","0"
"impermeabilizar tejas de barro","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Desconocido","0","0","0"
"impermeabilizar un techo","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Medio","43","0","0"
"impermeabilizar un tejado","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Desconocido","0","0","0"
"instalacion abanicos de techo","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion claraboya tejado","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion cubierta policarbonato","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion de aislante termico en techos","Impermeabilizacion_Sellado","Transaccional","Media","P1","/impermeabilizacion-techos","50","Alto","100","0","0"
"instalacion de canaletas en techos","Canaletas_Drenaje","Transaccional","Media","P2","/limpieza-reparacion-canaletas","50","Desconocido","0","0","0"
"instalacion de cielos en pvc","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion de cielos rasos en pvc","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Alto","86","0","0"
"instalacion de cubiertas de policarbonato","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion de cubiertas metalicas","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion de deck en techo","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion de drywall en techos","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Medio","43","0","0"
"instalacion de falso techo","No_Relevante","Transaccional","Baja","P3","/","50","Bajo","0","0","0"
"instalacion de fibra de vidrio en techos","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Bajo","0","0","0"
"instalacion de lamina de policarbonato","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Bajo","0","0","0"
"instalacion de machimbre en techo","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion de molduras de poliestireno","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion de planchas de policarbonato","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Bajo","20","0","0"
"instalacion de plastiteja","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion de policarbonato alveolar","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Medio","59","21","640"
"instalacion de policarbonato celular","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion de policarbonato ondulado","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Bajo","0","0","0"
"instalacion de policarbonato precio","Precios_Cotizacion","Comercial","Media","P2","/cotizacion-reparacion-techos","50","Desconocido","0","0","0"
"instalacion de pvc en techos","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion de shingle","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion de techo aluzinc","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion de techo de calamina","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion de techo en pvc","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Bajo","25","0","0"
"instalacion de techos de madera","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion de techumbre","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Bajo","26","191","717"
"instalacion de tragaluz para techos","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Medio","43","0","0"
"instalacion de ventilador","No_Relevante","Transaccional","Baja","P3","/","50","Bajo","10","0","0"
"instalacion de zinc ondulado","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Bajo","1","0","0"
"instalacion electrica en techo","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion electrica en techo de chapa","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Bajo","0","0","0"
"instalacion electrica en techo de machimbre","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Bajo","0","0","0"
"instalacion electrica en techo de madera","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Bajo","0","0","0"
"instalacion electrica falso techo","No_Relevante","Transaccional","Baja","P3","/","50","Bajo","0","0","0"
"instalacion electrica por falso techo","No_Relevante","Transaccional","Baja","P3","/","50","Desconocido","0","0","0"
"instalacion electrica techo","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Bajo","0","0","0"
"instalacion electrica techo de madera","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Bajo","0","0","0"
"instalacion falso plafon","No_Relevante","Transaccional","Baja","P3","/","50","Desconocido","0","0","0"
"instalacion falso techo","No_Relevante","Transaccional","Baja","P3","/","50","Desconocido","0","0","0"
"instalacion falso techo pladur","No_Relevante","Transaccional","Baja","P3","/","50","Desconocido","0","0","0"
"instalacion lamina alveolar policarbonato","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Bajo","29","0","0"
"instalacion lamina policarbonato","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion osb techumbre","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Bajo","3","0","0"
"instalacion plafon techo","No_Relevante","Transaccional","Baja","P3","/","50","Bajo","19","0","0"
"instalacion plancha policarbonato alveolar","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Alto","70","0","0"
"instalacion planchas de policarbonato","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Alto","100","0","0"
"instalacion policarbonato celular","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion policarbonato ondulado","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Medio","38","0","0"
"instalacion pvc techo","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion techo","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Medio","54","178","672"
"instalacion techo asfaltico","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Alto","76","354","703"
"instalacion techo de lamina","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Bajo","0","0","0"
"instalacion techo en pvc","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion techo falso","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion techo madera","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion techo panel sandwich","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Alto","100","0","0"
"instalacion techo pvc precio","Precios_Cotizacion","Comercial","Media","P2","/cotizacion-reparacion-techos","50","Desconocido","0","0","0"
"instalacion techo zinc","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Bajo","31","0","0"
"instalacion techumbre","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Bajo","4","0","0"
"instalacion teja asfaltica sodimac","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Desconocido","0","0","0"
"instalacion teja shingle","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Bajo","14","0","0"
"instalaciones de techos","Otros","Transaccional","Baja","P3","/servicios-techos","50","Medio","35","211","768"
"instalación de abanico de techo","Otros","Transaccional","Baja","P3","/servicios-techos","50","Desconocido","0","0","0"
"instalación de canoas para techos","Otros","Transaccional","Baja","P3","/servicios-techos","50","Alto","71","0","0"
"instalación de laminas de policarbonato","Material_Tipo_Cubierta","Transaccional","Media","P3","/reparacion-por-tipo-de-cubierta","50","Bajo","0","0","0"
"instalación de techo de zinc","Otros","Transaccional","Baja","P3","/servicios-techos","50","Bajo","1","0","0"
"instalación de techos de lámina","Otros","Transaccional","Baja","P3","/servicios-techos","50","Desconocido","0","0","0"
"instalación de teja","Material_Tipo_Cubierta","Transaccional","Media","P3","/reparacion-por-tipo-de-cubierta","50","Medio","46","194","591"
"instalación de teja asfáltica","Material_Tipo_Cubierta","Transaccional","Media","P3","/reparacion-por-tipo-de-cubierta","50","Bajo","31","19","491"
"instalación eléctrica por el techo","Otros","Transaccional","Baja","P3","/servicios-techos","50","Bajo","0","0","0"
"instalación policarbonato","Material_Tipo_Cubierta","Transaccional","Media","P3","/reparacion-por-tipo-de-cubierta","50","Medio","34","111","962"
"instalación policarbonato alveolar","Material_Tipo_Cubierta","Transaccional","Media","P3","/reparacion-por-tipo-de-cubierta","50","Medio","51","28","488"
"instalación techo pvc","Material_Tipo_Cubierta","Transaccional","Media","P3","/reparacion-por-tipo-de-cubierta","50","Bajo","17","0","0"
"instalador de techos","Otros","Transaccional","Baja","P3","/servicios-techos","50","Alto","100","0","0"
"instalar lamina de policarbonato","Instalacion_Cambio_Cubierta","Transaccional","Media","P2","/cambio-cubiertas-techos","50","Bajo","0","0","0"
